[(316800, 80400) (333400, 131700) (385900, 242700) (497700, 567300) (554300, 704200) (693100, 931500) (838100, 1502200) (967900, 1683600) (1106200, 2102000); (310600, 94200) (519600, 193700) (526900, 322800) (696100, 740500) (860000, 913100) (1011800, 1101200) (1241300, 1717500) (1330800, 2001100) (1529500, 2274100); (351200, 177400) (430800, 258300) (560100, 434400) (748500, 878000) (835300, 1056400) (1022300, 1247800) (1241600, 1945600) (1311300, 2235000) (1528700, 2672500); (388400, 204700) (530900, 376900) (725700, 473000) (948100, 898000) (1116400, 1130400) (1421900, 1381000) (1613600, 2141200) (1767500, 2391200) (2034200, 2801900); (472800, 613900) (570600, 965100) (786100, 1167000) (925400, 2224800) (1144100, 2443900) (1366000, 2909500) (1584100, 4415500) (1764600, 5076600) (2031000, 5721900); (542400, 758600) (698500, 1160000) (966600, 1474200) (1126000, 2494100) (1436100, 3001700) (1698800, 3484500) (1970100, 4976900) (2240700, 5746600) (2579900, 6445100); (595000, 737000) (815000, 1103000) (1014700, 1133300) (1280600, 2463000) (1625700, 2968400) (1810900, 3021800) (2221500, 4986300) (2379100, 5136900) (2739200, 6104400); (700000, 928400) (909000, 1188800) (1225700, 1313800) (1489900, 2812500) (1816600, 3012800) (2217300, 3450500) (2454100, 5294700) (2837100, 5558700) (3298700, 6302900); (819200, 1806700) (1023300, 2457800) (1295900, 2749600) (1624500, 5384800) (1928900, 5514100) (2264400, 6343800) (2694500, 9765400) (3608100, 10542400) (3955700, 11236900)]

[(562100, 247800) (632200, 542300) (867600, 826000) (1202600, 1918700) (1440000, 2392900) (1774100, 2893500) (2226900, 6942000) (2498800, 8203600) (2839900, 9090600); (603700, 544800) (712500, 808700) (1113600, 1083100) (1521000, 2625100) (1870700, 2913600) (2197200, 3549800) (2582900, 7446100) (2982600, 8518700) (3416800, 9490900); (794200, 580700) (984300, 888100) (1330300, 1118300) (1635500, 2619800) (1944500, 3091800) (2222200, 3591500) (2645200, 5846800) (2961100, 7217500) (3418000, 9099100); (1132900, 747200) (1334100, 1048800) (1573500, 1234400) (1964500, 2833100) (2310200, 3280700) (2803800, 3759900) (3224500, 5948900) (3625900, 7392300) (4238900, 8861600); (1176800, 2117200) (1433400, 2707300) (1717600, 3112800) (1996000, 7095800) (2322900, 7920000) (2702200, 8812800) (3083700, 15299200) (3540400, 16968100) (3769900, 19316700); (1436600, 2694200) (1939400, 3257700) (2265000, 3709300) (2496100, 7997500) (2759300, 8440300) (3348000, 10347200) (3773400, 16387100) (4359100, 19642400) (4871400, 21305200); (1587300, 3289300) (2116200, 3217400) (2423700, 3512200) (2926900, 8469600) (3063300, 8735600) (3325000, 9225400) (3732600, 14986300) (4037500, 17795400) (4752200, 21353200); (1801700, 4010300) (2378300, 3626900) (2986500, 3909300) (3409800, 9296700) (3485400, 9384200) (4085700, 10220800) (4382100, 16047100) (4958400, 20354800) (5610700, 20995800); (1973400, 6105700) (2597900, 6252700) (3130400, 7156000) (3697200, 16385400) (3868300, 16262700) (4016300, 17839600) (4636200, 28229400) (5506400, 31995300) (5416800, 36088900)]

[(819000, 398400) (992100, 944200) (1453900, 1482600) (1906300, 3377400) (2389100, 5042500) (2926800, 8182500) (3528500, 11807300) (4146800, 14664500) (4621200, 16113300); (936800, 866400) (1163200, 1393300) (1719500, 1858000) (2327100, 4055200) (2951900, 5622300) (3474500, 8397900) (4213800, 12068400) (4857300, 14415700) (5534900, 16160600); (1290100, 991000) (1554200, 1399400) (2105100, 1898400) (2681100, 4331700) (3103800, 6498300) (3741200, 5815900) (4287800, 9061900) (4794500, 14703500) (5609000, 18004800); (1611100, 1284600) (2145300, 1688600) (2779600, 2221400) (3149400, 4798500) (3620900, 6730600) (4589000, 6248700) (5108700, 9254100) (5795700, 14501200) (6541100, 17225900); (1840700, 3806100) (2385300, 4654500) (3068500, 5391400) (3442700, 11694200) (4096500, 14563600) (4925800, 17239200) (5964900, 25116900) (5971100, 30861400) (6208700, 34532200); (2302400, 4812000) (3072300, 5218400) (3853000, 6163200) (4349600, 13433800) (5817200, 15086200) (6076500, 18442700) (6226500, 25853500) (7279400, 33318100) (7957700, 37124400); (2465500, 5531900) (3191100, 5369100) (4287500, 5791700) (5053200, 12987600) (5620100, 15172900) (6510800, 16639100) (7549500, 25453700) (6787600, 32960600) (7695700, 38391900); (3170800, 6460700) (4233700, 6441200) (4991800, 6627700) (5680000, 15246500) (6185200, 16161600) (7095600, 18392900) (9249600, 27537300) (8238700, 36545900) (10121300, 40660600); (3238400, 10079200) (3875900, 10010800) (5563800, 11952100) (6745700, 25440700) (6561800, 28988400) (7329400, 32919700) (7958600, 48060000) (8293800, 56634800) (9128400, 62573200)]

[(1084100, 768600) (1312000, 1282800) (2049800, 2196000) (2665000, 5201700) (3390400, 8545000) (4122000, 9948300) (5033800, 14694000) (5811100, 16317600) (6573600, 17808600); (1288400, 1343500) (1736400, 1914300) (2490200, 2702400) (3297300, 5906700) (4165900, 9060800) (5209400, 10754300) (5905300, 15511200) (6959100, 17055800) (7826800, 18739100); (1632500, 1342500) (2307300, 2135400) (3052500, 2794200) (3664100, 6453100) (4387800, 9433500) (5182800, 10361500) (6182300, 18851600) (6855900, 24293000) (7910500, 28465400); (2333900, 1804600) (3288300, 2551700) (4097200, 3129400) (4398300, 7135400) (6280000, 9895700) (7299300, 11317500) (8087500, 19366100) (9852300, 26116400) (10536900, 29300600); (2497900, 5362500) (3263600, 6339300) (5009000, 7674900) (7393400, 16679600) (5967000, 21795600) (6836000, 24506000) (7708100, 39120200) (8069900, 45986000) (9125700, 51819700); (3422400, 6724000) (4805700, 7399000) (6639600, 8977700) (6327800, 17990500) (8151100, 22908500) (8012800, 26969700) (10690300, 41442100) (11224000, 48637100) (12152800, 54227800); (3416200, 7677100) (4667600, 7433200) (6544100, 8642300) (7610600, 18578600) (8497200, 23222100) (9270300, 26061900) (9467300, 45887500) (10150100, 54550500) (11432300, 63489600); (4188900, 9083800) (7110100, 8650400) (8370000, 9451300) (8463100, 20831700) (9701300, 24641200) (11618500, 28246600) (13594000, 46767200) (11480800, 58032000) (15371200, 65363700); (5085700, 14130300) (5886000, 14805600) (7550500, 17733300) (8781900, 36610900) (9616000, 42651100) (10701600, 46636400) (14074800, 73346000) (11777400, 84951200) (12785400, 96950000)]

[(1335100, 998300) (1701600, 1812800) (2553400, 2695100) (3503500, 6920200) (4526400, 11498600) (5528700, 17147600) (6448900, 24449700) (7381400, 26927700) (8361200, 28230400); (1619000, 1768900) (2202000, 2600500) (3364500, 3432500) (4485600, 8085000) (5561200, 12695400) (6545100, 17789600) (7967800, 25412800) (8957400, 27856300) (10245200, 29249200); (2089200, 1803600) (3161800, 2783100) (3897400, 3554800) (5063200, 8921100) (5923200, 11871800) (6956300, 17500800) (8240100, 25548800) (9143400, 30937200) (10315400, 41593100); (2930900, 2345100) (4505300, 3240200) (5728200, 4162600) (6476100, 9949600) (8261300, 12363200) (10187100, 18091400) (11753200, 26130300) (12224900, 31709800) (13895400, 42353600); (3288200, 6986500) (5308100, 8101600) (6571200, 10058700) (8908800, 21578500) (7183200, 27208300) (10429500, 38353900) (11790100, 54335100) (10793000, 61808800) (13804000, 74003900); (4020700, 8629500) (7455500, 8961800) (9924300, 11393500) (11808800, 24100700) (11692000, 29292800) (11019800, 40816800) (15062100, 56154100) (14133200, 64826700) (17796800, 77905000); (4443100, 9930400) (6722400, 9476300) (9011400, 10900000) (10075000, 23902400) (9693800, 29978600) (12594900, 40642100) (12425400, 59997100) (13246300, 70228400) (16342100, 88210800); (5532200, 11762200) (9812300, 11217700) (10921700, 12997300) (12304200, 26304200) (13909200, 31690000) (14791700, 43172400) (16526000, 61674400) (16185400, 74096200) (19197300, 90190800); (5831000, 17921000) (10006500, 18769000) (10641600, 22772400) (12518400, 46815300) (12710800, 54778500) (15026400, 68103800) (15782900, 97144700) (15567300, 109780900) (16892000, 129964200)]

